# This is clearly random, the system is not learning. Adjust learning rate, if this makes no difference search for errors.

Epoch [1/50], Loss: 1.444535
Epoch [2/50], Loss: 1.444335
Epoch [3/50], Loss: 1.444424
Epoch [4/50], Loss: 1.444497
Epoch [5/50], Loss: 1.444632
Epoch [6/50], Loss: 1.444532
Epoch [7/50], Loss: 1.444348
Epoch [8/50], Loss: 1.444506
Epoch [9/50], Loss: 1.444020
Epoch [10/50], Loss: 1.444420
Epoch [11/50], Loss: 1.444421
Epoch [12/50], Loss: 1.444557
Epoch [13/50], Loss: 1.444221
Epoch [14/50], Loss: 1.444325
Epoch [15/50], Loss: 1.444737
Epoch [16/50], Loss: 1.444622
Epoch [17/50], Loss: 1.444467
Epoch [18/50], Loss: 1.444481
Epoch [19/50], Loss: 1.444512
Epoch [20/50], Loss: 1.444377
Epoch [21/50], Loss: 1.444410
Epoch [22/50], Loss: 1.444203
Epoch [23/50], Loss: 1.444467
Epoch [24/50], Loss: 1.444302
Epoch [25/50], Loss: 1.444330
Epoch [26/50], Loss: 1.444239
Epoch [27/50], Loss: 1.444590
Epoch [28/50], Loss: 1.444495
Epoch [29/50], Loss: 1.444658
Epoch [30/50], Loss: 1.444246
Epoch [31/50], Loss: 1.444416
Epoch [32/50], Loss: 1.444429
Epoch [33/50], Loss: 1.444437
Epoch [34/50], Loss: 1.444620
Epoch [35/50], Loss: 1.444718
Epoch [36/50], Loss: 1.444567
Epoch [37/50], Loss: 1.444495
Epoch [38/50], Loss: 1.444471
Epoch [39/50], Loss: 1.444600
Epoch [40/50], Loss: 1.445011
Epoch [41/50], Loss: 1.444591
Epoch [42/50], Loss: 1.444256
Epoch [43/50], Loss: 1.444689
Epoch [44/50], Loss: 1.444364
Epoch [45/50], Loss: 1.444556
Epoch [46/50], Loss: 1.444396
Epoch [47/50], Loss: 1.444388
Epoch [48/50], Loss: 1.444415
Epoch [49/50], Loss: 1.444205
Epoch [50/50], Loss: 1.444667
Training Completed!
Test Loss: 0.000436, Accuracy: 23.15%
