# I increased learning rate by a factor of 10 to 0.01, which slightly improved accuracy

Epoch [1/50], Loss: 0.354910
Epoch [2/50], Loss: 0.225075
Epoch [3/50], Loss: 0.188254
Epoch [4/50], Loss: 0.167444
Epoch [5/50], Loss: 0.153634
Epoch [6/50], Loss: 0.144022
Epoch [7/50], Loss: 0.137603
Epoch [8/50], Loss: 0.133013
Epoch [9/50], Loss: 0.129636
Epoch [10/50], Loss: 0.127073
Epoch [11/50], Loss: 0.125043
Epoch [12/50], Loss: 0.123303
Epoch [13/50], Loss: 0.121649
Epoch [14/50], Loss: 0.120088
Epoch [15/50], Loss: 0.118730
Epoch [16/50], Loss: 0.117659
Epoch [17/50], Loss: 0.116684
Epoch [18/50], Loss: 0.115847
Epoch [19/50], Loss: 0.115018
Epoch [20/50], Loss: 0.114364
Epoch [21/50], Loss: 0.113559
Epoch [22/50], Loss: 0.112816
Epoch [23/50], Loss: 0.112197
Epoch [24/50], Loss: 0.111843
Epoch [25/50], Loss: 0.111524
Epoch [26/50], Loss: 0.111081
Epoch [27/50], Loss: 0.110576
Epoch [28/50], Loss: 0.110032
Epoch [29/50], Loss: 0.109554
Epoch [30/50], Loss: 0.108882
Epoch [31/50], Loss: 0.108207
Epoch [32/50], Loss: 0.107459
Epoch [33/50], Loss: 0.106875
Epoch [34/50], Loss: 0.106401
Epoch [35/50], Loss: 0.105965
Epoch [36/50], Loss: 0.105504
Epoch [37/50], Loss: 0.105093
Epoch [38/50], Loss: 0.104765
Epoch [39/50], Loss: 0.104362
Epoch [40/50], Loss: 0.104019
Epoch [41/50], Loss: 0.103711
Epoch [42/50], Loss: 0.103410
Epoch [43/50], Loss: 0.103099
Epoch [44/50], Loss: 0.102821
Epoch [45/50], Loss: 0.102543
Epoch [46/50], Loss: 0.102305
Epoch [47/50], Loss: 0.102050
Epoch [48/50], Loss: 0.101823
Epoch [49/50], Loss: 0.101677
Epoch [50/50], Loss: 0.101429
Training Completed!
Test Loss: 0.000033, Accuracy: 90.42%
