# Network still not learning after adjusting the learning rate, debug

Epoch [1/50], Loss: 1.191490
Epoch [2/50], Loss: 1.191514
Epoch [3/50], Loss: 1.191454
Epoch [4/50], Loss: 1.191333
Epoch [5/50], Loss: 1.191415
Epoch [6/50], Loss: 1.191679
Epoch [7/50], Loss: 1.191362
Epoch [8/50], Loss: 1.191505
Epoch [9/50], Loss: 1.191508
Epoch [10/50], Loss: 1.191523
Epoch [11/50], Loss: 1.191716
Epoch [12/50], Loss: 1.191646
Epoch [13/50], Loss: 1.191575
Epoch [14/50], Loss: 1.191359
Epoch [15/50], Loss: 1.191378
Epoch [16/50], Loss: 1.191739
Epoch [17/50], Loss: 1.191555
Epoch [18/50], Loss: 1.191706
Epoch [19/50], Loss: 1.191562
Epoch [20/50], Loss: 1.191487
Epoch [21/50], Loss: 1.191406
Epoch [22/50], Loss: 1.191596
Epoch [23/50], Loss: 1.191481
Epoch [24/50], Loss: 1.191616
Epoch [25/50], Loss: 1.191616
Epoch [26/50], Loss: 1.191268
Epoch [27/50], Loss: 1.191900
Epoch [28/50], Loss: 1.191621
Epoch [29/50], Loss: 1.191616
Epoch [30/50], Loss: 1.191261
Epoch [31/50], Loss: 1.191738
Epoch [32/50], Loss: 1.191408
Epoch [33/50], Loss: 1.191342
Epoch [34/50], Loss: 1.191345
Epoch [35/50], Loss: 1.191405
Epoch [36/50], Loss: 1.191429
Epoch [37/50], Loss: 1.191438
Epoch [38/50], Loss: 1.191359
Epoch [39/50], Loss: 1.191429
Epoch [40/50], Loss: 1.191320
Epoch [41/50], Loss: 1.191505
Epoch [42/50], Loss: 1.191352
Epoch [43/50], Loss: 1.191368
Epoch [44/50], Loss: 1.191746
Epoch [45/50], Loss: 1.191214
Epoch [46/50], Loss: 1.191377
Epoch [47/50], Loss: 1.191621
Epoch [48/50], Loss: 1.191684
Epoch [49/50], Loss: 1.191240
Epoch [50/50], Loss: 1.191487
Training Completed!
Test Loss: 0.000356, Accuracy: 24.12%
