Time,Average_LMP
00:00:00,14.096202
01:00:00,19.202566857142855
02:00:00,23.138406857142858
03:00:00,23.041149714285716
04:00:00,20.427623714285712
05:00:00,18.38687657142857
06:00:00,17.72849714285714
07:00:00,16.86299
08:00:00,16.572870285714288
09:00:00,15.801921142857141
10:00:00,15.544182000000001
11:00:00,16.388195142857143
12:00:00,16.971284
13:00:00,16.050228571428573
14:00:00,9.793585714285715
15:00:00,7.847983142857143
16:00:00,6.546796285714286
17:00:00,7.546537714285715
18:00:00,7.145951142857143
19:00:00,7.257658
20:00:00,7.2565794285714285
21:00:00,7.776167714285714
22:00:00,9.139251714285715
23:00:00,10.779921428571429
